"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.424264780E-1,-6.524199992E-2,3.633201122E-1,9.771335602E0,9.778305450E0
6.449471030E-1,-7.960720360E-2,3.393780887E-1,9.771335602E0,9.777551546E0
6.474677280E-1,-8.439560980E-2,3.537433147E-1,9.761758804E0,9.768530693E0
6.499883530E-1,-9.397241473E-2,3.585317135E-1,9.747393608E0,9.754437860E0
6.525089780E-1,-8.918401599E-2,3.393780887E-1,9.756970406E0,9.763278280E0
6.550296030E-1,-9.397241473E-2,3.537433147E-1,9.776124001E0,9.782973251E0
6.575502800E-1,-1.083376259E-1,3.681085110E-1,9.800065994E0,9.807575358E0
6.600710100E-1,-1.227028370E-1,3.776853085E-1,9.795277596E0,9.803324199E0
6.625917910E-1,-1.131260321E-1,3.776853085E-1,9.819219589E0,9.827131679E0
6.651126240E-1,-1.131260321E-1,3.728969097E-1,9.824007988E0,9.831733446E0
6.676335100E-1,-1.083376259E-1,3.681085110E-1,9.828796387E0,9.836283817E0
6.701544470E-1,-1.322796494E-1,3.728969097E-1,9.857526779E0,9.865464217E0
6.726754370E-1,-1.418564469E-1,3.681085110E-1,9.847949982E0,9.855848313E0
6.751964260E-1,-1.274912357E-1,3.585317135E-1,9.862315178E0,9.869653473E0
6.777174160E-1,-1.227028370E-1,3.728969097E-1,9.852738380E0,9.860555851E0
6.802383530E-1,-1.322796494E-1,3.585317135E-1,9.838373184E0,9.845792493E0
6.827588220E-1,-1.179144308E-1,3.681085110E-1,9.843161583E0,9.850748075E0
6.852792910E-1,-1.131260321E-1,3.633201122E-1,9.857526779E0,9.864868636E0
6.877997600E-1,-1.179144308E-1,3.633201122E-1,9.857526779E0,9.864924709E0
6.903202280E-1,-8.918401599E-2,3.728969097E-1,9.828796387E0,9.836271870E0
6.928406970E-1,-9.876082093E-2,3.681085110E-1,9.795277596E0,9.802689465E0
6.953611660E-1,-8.918401599E-2,3.633201122E-1,9.814431190E0,9.821558679E0
6.978816350E-1,-6.045359373E-2,3.776853085E-1,9.838373184E0,9.845805591E0
7.004021030E-1,-7.481880486E-2,3.681085110E-1,9.828796387E0,9.835971744E0
7.029225720E-1,-5.566519126E-2,3.441664875E-1,9.785700798E0,9.791909379E0
7.054430930E-1,-3.651157767E-2,3.298012912E-1,9.766547203E0,9.772182267E0
7.079636660E-1,-4.608838260E-2,3.202244639E-1,9.747393608E0,9.752761147E0
7.104842910E-1,-8.439560980E-2,3.345896900E-1,9.704298019E0,9.710431140E0
7.130049680E-1,-7.960720360E-2,3.537433147E-1,9.661202431E0,9.668004140E0
7.155256450E-1,-8.918401599E-2,3.681085110E-1,9.675567627E0,9.682978187E0
7.180463220E-1,-9.876082093E-2,3.776853085E-1,9.742605209E0,9.750423383E0
7.205669990E-1,-8.918401599E-2,3.968389332E-1,9.804854393E0,9.813287145E0
7.230876760E-1,-8.439560980E-2,4.016273320E-1,9.824007988E0,9.832576472E0
7.256083530E-1,-7.481880486E-2,4.016273320E-1,9.857526779E0,9.865988879E0
7.281290300E-1,-6.524199992E-2,3.968389332E-1,9.914987564E0,9.923140433E0
7.306497080E-1,-5.087678507E-2,3.824737072E-1,1.002033234E1,1.002775821E1
7.331703850E-1,-4.608838260E-2,3.537433147E-1,1.007300472E1,1.007931955E1
7.356910620E-1,-4.608838260E-2,3.585317135E-1,1.002033234E1,1.002685042E1
7.382117390E-1,-3.172317147E-2,3.728969097E-1,9.900622368E0,9.907693058E0
7.407324160E-1,1.616086066E-2,3.776853085E-1,9.776124001E0,9.783430270E0
7.432530930E-1,6.584054790E-3,3.633201122E-1,9.689932823E0,9.696743937E0
7.457735620E-1,1.137245819E-2,3.872621357E-1,9.675567627E0,9.683321238E0
7.482939260E-1,3.531447425E-2,4.016273320E-1,9.689932823E0,9.698316851E0
7.508142910E-1,6.883329898E-2,4.064157307E-1,9.689932823E0,9.698696298E0
7.533346550E-1,4.967968538E-2,4.112041295E-1,9.661202431E0,9.670077007E0
7.558550200E-1,4.489128292E-2,3.728969097E-1,9.637260437E0,9.644576510E0
7.583753850E-1,5.925649032E-2,3.728969097E-1,9.608530045E0,9.615945770E0
7.608957490E-1,4.967968538E-2,3.968389332E-1,9.584588051E0,9.592928506E0
7.634161140E-1,3.052607179E-2,3.920505345E-1,9.608530045E0,9.616573458E0
7.659365300E-1,2.094926499E-2,3.776853085E-1,9.685144424E0,9.692528441E0
7.684569990E-1,-7.781155407E-3,3.776853085E-1,9.733028412E0,9.740356708E0
7.709775200E-1,-3.172317147E-2,3.920505345E-1,9.737816811E0,9.745757345E0
7.734980930E-1,-7.481880486E-2,3.824737072E-1,9.699509621E0,9.707335931E0
7.760187180E-1,-1.035492271E-1,3.872621357E-1,9.675567627E0,9.683868200E0
7.785393950E-1,-1.418564469E-1,3.872621357E-1,9.685144424E0,9.693921690E0
7.810601240E-1,-1.801636815E-1,3.872621357E-1,9.718663216E0,9.728044285E0
7.835809050E-1,-2.232593149E-1,3.728969097E-1,9.737816811E0,9.747511122E0
7.861016870E-1,-2.519897223E-1,3.728969097E-1,9.761758804E0,9.772128012E0
7.886224680E-1,-2.759317458E-1,3.585317135E-1,9.795277596E0,9.805720090E0
7.911432490E-1,-2.807201445E-1,3.537433147E-1,9.852738380E0,9.863082263E0
7.936640300E-1,-2.998737693E-1,3.489548862E-1,9.910199165E0,9.920874018E0
7.961848120E-1,-2.855085433E-1,3.585317135E-1,9.962871552E0,9.973408127E0
