"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.140230062E0,-1.856327057E-2,-1.714938879E-2,1.231288910E-2,2.811234227E-2
1.145250583E0,-2.321958542E-2,-2.658098936E-2,1.695632935E-2,3.915629256E-2
1.150271104E0,-1.354277134E-2,-1.699733734E-2,1.682090759E-2,2.748197708E-2
1.155291625E0,-1.354968548E-2,-7.499217987E-3,1.192665100E-2,1.954679644E-2
1.160312146E0,-1.350498199E-2,-7.525682449E-3,1.657295227E-2,2.266457990E-2
1.165332666E0,5.539178848E-3,-1.714062691E-2,6.940841675E-3,1.930437454E-2
1.170353187E0,-4.121065140E-3,-1.233255863E-2,6.874084473E-3,1.470810041E-2
1.175373708E0,-4.154920578E-3,-1.231878996E-2,1.156234741E-2,1.739838581E-2
1.180394229E0,-1.378285885E-2,-7.596790791E-3,1.957893372E-3,1.585912276E-2
1.185414750E0,-1.853621006E-2,-1.237100363E-2,6.681442261E-3,2.326530646E-2
1.190435271E0,-9.007334709E-3,-1.236259937E-2,1.611423492E-2,2.221788714E-2
1.195455791E0,-1.380050182E-2,-2.903223038E-3,1.729011536E-3,1.420816791E-2
1.200476312E0,-8.999586105E-3,-7.808208466E-3,-7.779121399E-3,1.422938506E-2
1.205496833E0,-8.989930153E-3,-3.026306629E-3,-7.719993591E-3,1.223011353E-2
1.210517354E0,-1.378047466E-2,-1.258134842E-2,1.132965088E-2,2.183008930E-2
1.215537875E0,-9.034037590E-3,-1.261138916E-2,6.481170654E-3,1.681268999E-2
1.220558396E0,-9.072780609E-3,-7.886946201E-3,-3.075599670E-3,1.240881065E-2
1.225578916E0,-1.385688782E-2,-1.744168997E-2,1.692771912E-3,2.234035285E-2
1.230599437E0,-9.058237076E-3,-1.263111830E-2,1.117324829E-2,1.914257782E-2
1.235619958E0,-2.324473858E-2,1.527488232E-3,6.340026855E-3,2.414222509E-2
1.240640479E0,-1.841950417E-2,-3.316998482E-3,6.278991699E-3,1.974098147E-2
1.245661000E0,-1.363730431E-2,-2.242392302E-2,2.046680450E-2,3.328210448E-2
1.250681521E0,-8.892059326E-3,-1.287496090E-2,2.029037476E-2,2.562289299E-2
1.255702041E0,-1.368618011E-2,-1.290822029E-2,5.869865417E-3,1.970758730E-2
1.260722562E0,-8.837342262E-3,-1.293551922E-2,5.826950073E-3,1.671465294E-2
1.265743083E0,-4.086256027E-3,-1.297402382E-2,5.778312683E-3,1.477875772E-2
1.270763604E0,-4.169106483E-3,-1.300078630E-2,5.724906921E-3,1.480460917E-2
1.275784125E0,-8.999824524E-3,-2.247273922E-2,5.668640137E-3,2.486270964E-2
1.280804646E0,-8.995890617E-3,-2.238017321E-2,-8.626937866E-3,2.561683543E-2
1.285825166E0,-4.286527634E-3,-1.762592793E-2,5.687713623E-3,1.901046398E-2
1.290845687E0,-1.386475563E-2,-1.756232977E-2,1.038074493E-2,2.466630781E-2
1.295866208E0,-9.120464325E-3,-2.225351334E-2,5.537033081E-3,2.467915032E-2
1.300886729E0,-4.358530045E-3,-1.750034094E-2,-4.003524780E-3,1.847395268E-2
1.305907250E0,-9.184837341E-3,-1.753526926E-2,5.523681641E-3,2.055134944E-2
1.310927771E0,-1.392495632E-2,-2.222663164E-2,1.497173309E-2,3.020066811E-2
1.315948291E0,3.141164780E-4,-1.269072294E-2,1.009273529E-2,1.621778109E-2
1.320968812E0,2.949237823E-4,-1.267397404E-2,-4.234313965E-3,1.336585249E-2
1.325989333E0,2.242326736E-4,-1.745748520E-2,5.493164062E-4,1.746756475E-2
1.331009854E0,-9.391665459E-3,-7.898271084E-3,5.359649658E-4,1.228305030E-2
1.336030375E0,-1.418161392E-2,-1.266998053E-2,1.002025604E-2,2.149539744E-2
1.341050896E0,-9.380340576E-3,-1.739615202E-2,5.185127258E-3,2.043287643E-2
1.346071416E0,1.295804977E-4,-1.263755560E-2,9.890556335E-3,1.604829297E-2
1.351091937E0,-1.423406601E-2,-7.815420628E-3,5.048751831E-3,1.700527359E-2
1.356112458E0,-4.683852196E-3,-1.733058691E-2,1.450061798E-2,2.307716698E-2
1.361132979E0,-1.901006699E-2,-1.722359657E-2,1.911735535E-2,3.199231472E-2
1.366153500E0,-2.366268635E-2,-1.710605621E-2,1.420402527E-2,3.246989711E-2
1.371174021E0,-1.408541203E-2,-1.224666834E-2,1.407432556E-2,2.337661989E-2
1.376194541E0,-4.536390305E-3,-1.697641611E-2,1.870250702E-2,2.566244941E-2
1.381215062E0,-1.416134834E-2,-2.667069435E-3,4.286766052E-3,1.503440752E-2
