 (0.345525+0.000000j), (-0.151128+0.000000j), (-1.285541+0.000000j), (-0.966014+0.000000j)
 (0.346777+0.000000j), (0.202397+0.000000j), (-1.512436+0.000000j), (1.225734-0.000000j)
 (0.348028+0.000000j), (0.344227+0.000000j), (-1.356627-0.000000j), (1.296929+0.000000j)
 (0.349280+0.000000j), (0.279034-0.000000j), (-0.712552+0.000000j), (-0.162782-0.000000j)
 (0.350532+0.000000j), (0.283367+0.000000j), (-0.574062-0.000000j), (-0.272382+0.000000j)
 (0.351784+0.000000j), (0.008486-0.000000j), (-0.642958-0.000000j), (-0.385626-0.000000j)
 (0.353036+0.000000j), (0.015575-0.000000j), (-0.461783+0.000000j), (-0.073690+0.000000j)
 (0.354288+0.000000j), (-0.002576+0.000000j), (0.189625-0.000000j), (0.738456-0.000000j)
 (0.355540+0.000000j), (-0.095596-0.000000j), (0.314212+0.000000j), (0.811566-0.000000j)
 (0.356792+0.000000j), (-0.839243-0.000000j), (0.322522-0.000000j), (-0.204125+0.000000j)
 (0.358044+0.000000j), (-0.799301-0.000000j), (0.208914+0.000000j), (-0.239437+0.000000j)
 (0.359296+0.000000j), (-0.457986+0.000000j), (-0.203510+0.000000j), (-0.093180-0.000000j)
 (0.360547+0.000000j), (-0.083090+0.000000j), (-0.329756-0.000000j), (0.095379-0.000000j)
 (0.361799+0.000000j), (0.676048+0.000000j), (-0.298472+0.000000j), (0.210345+0.000000j)
 (0.363051+0.000000j), (0.955616-0.000000j), (-0.243378+0.000000j), (0.304471-0.000000j)
