"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.444185843E0,1.603386924E-2,-9.369850159E-5,2.971076965E-2,3.376127331E-2
1.449206781E0,1.583357528E-2,1.932257414E-2,1.043415070E-2,2.707278113E-2
1.454227718E0,1.094247028E-2,5.888938904E-4,1.031208038E-2,1.504737365E-2
1.459248656E0,1.553741843E-2,-3.639757633E-3,5.434036255E-3,1.685787522E-2
1.464269593E0,5.904581398E-3,-7.833361626E-3,1.484203339E-2,1.779077263E-2
1.469290531E0,5.836099386E-3,-2.618521452E-2,1.467037201E-2,3.057687575E-2
1.474311468E0,5.768187344E-3,-2.549356222E-2,1.450824738E-2,2.989453030E-2
1.479332406E0,1.016959548E-3,-2.480822802E-2,4.850387573E-3,2.529839212E-2
1.484353343E0,-1.799621806E-2,-1.932823658E-2,9.514808655E-3,2.807091337E-2
1.489374281E0,-1.310843974E-2,-1.864242554E-2,-4.853248596E-3,2.330075630E-2
1.494395218E0,-2.251120284E-2,-2.276229858E-2,1.414203644E-2,3.499819545E-2
1.499416156E0,-2.708710358E-2,-4.109328985E-2,4.487991333E-3,4.942177372E-2
1.504437093E0,-2.682037652E-2,-4.507797956E-2,1.391220093E-2,5.426698971E-2
1.509458031E0,-2.191511542E-2,-4.913270473E-2,1.377010345E-2,5.553296955E-2
1.514478968E0,-3.119277954E-2,-3.885644674E-2,1.837348938E-2,5.310742002E-2
1.519499906E0,-2.150684968E-2,-4.296284914E-2,1.819419861E-2,5.137489516E-2
1.524520843E0,-2.139437571E-2,-5.188715458E-2,-9.679794312E-4,5.613317296E-2
1.529541781E0,-1.653008908E-2,-5.118852854E-2,-1.522731781E-2,5.590510269E-2
1.534562718E0,-2.115586028E-2,-5.049556494E-2,-2.461910248E-2,6.002893227E-2
1.539583656E0,-1.629782841E-2,-6.410562992E-2,-1.018524170E-2,6.692451081E-2
1.544604593E0,2.816963941E-3,-5.871170759E-2,-2.435493469E-2,6.362517378E-2
